"table_name","column_name","data_type","is_primary_key"
batch_job_execution,job_execution_id,bigint,yes
batch_job_execution,version,bigint,no
batch_job_execution,job_instance_id,bigint,no
batch_job_execution,create_time,datetime,no
batch_job_execution,start_time,datetime,no
batch_job_execution,end_time,datetime,no
batch_job_execution,status,varchar,no
batch_job_execution,exit_code,varchar,no
batch_job_execution,exit_message,varchar,no
batch_job_execution,last_updated,datetime,no
batch_job_execution,job_configuration_location,varchar,no
batch_job_execution_context,job_execution_id,bigint,yes
batch_job_execution_context,short_context,varchar,no
batch_job_execution_context,serialized_context,text,no
batch_job_execution_params,job_execution_id,bigint,no
batch_job_execution_params,type_cd,varchar,no
batch_job_execution_params,key_name,varchar,no
batch_job_execution_params,string_val,varchar,no
batch_job_execution_params,date_val,datetime,no
batch_job_execution_params,long_val,bigint,no
batch_job_execution_params,double_val,double,no
batch_job_execution_params,identifying,char,no
batch_job_execution_seq,id,bigint,no
batch_job_execution_seq,unique_key,char,yes
batch_job_instance,job_instance_id,bigint,yes
batch_job_instance,version,bigint,no
batch_job_instance,job_name,varchar,no
batch_job_instance,job_key,varchar,no
batch_job_seq,id,bigint,no
batch_job_seq,unique_key,char,yes
batch_step_execution,step_execution_id,bigint,yes
batch_step_execution,version,bigint,no
batch_step_execution,step_name,varchar,no
batch_step_execution,job_execution_id,bigint,no
batch_step_execution,start_time,datetime,no
batch_step_execution,end_time,datetime,no
batch_step_execution,status,varchar,no
batch_step_execution,commit_count,bigint,no
batch_step_execution,read_count,bigint,no
batch_step_execution,filter_count,bigint,no
batch_step_execution,write_count,bigint,no
batch_step_execution,read_skip_count,bigint,no
batch_step_execution,write_skip_count,bigint,no
batch_step_execution,process_skip_count,bigint,no
batch_step_execution,rollback_count,bigint,no
batch_step_execution,exit_code,varchar,no
batch_step_execution,exit_message,varchar,no
batch_step_execution,last_updated,datetime,no
batch_step_execution_context,step_execution_id,bigint,yes
batch_step_execution_context,short_context,varchar,no
batch_step_execution_context,serialized_context,text,no
batch_step_execution_seq,id,bigint,no
batch_step_execution_seq,unique_key,char,yes
example_table,id,bigint,yes
example_table,tinyint_col,tinyint,no
example_table,smallint_col,smallint,no
example_table,mediumint_col,mediumint,no
example_table,int_col,int,no
example_table,bigint_col,bigint,no
example_table,float_col,float,no
example_table,double_col,double,no
example_table,decimal_col,decimal,no
example_table,date_col,date,no
example_table,datetime_col,timestamp,no
example_table,timestamp_col,timestamp,no
example_table,time_col,time,no
example_table,year_col,year,no
example_table,char_col,char,no
example_table,varchar_col,varchar,no
example_table,binary_col,binary,no
example_table,tinyblob_col,tinyblob,no
example_table,blob_col,blob,no
example_table,mediumblob_col,mediumblob,no
example_table,longblob_col,longblob,no
example_table,tinytext_col,tinytext,no
example_table,text_col,text,no
example_table,mediumtext_col,mediumtext,no
example_table,longtext_col,longtext,no
example_table,enum_col,enum,no
example_table,set_col,set,no
example_table,geometry_col,geometry,no
example_table,point_col,point,no
example_table,linestring_col,linestring,no
example_table,polygon_col,polygon,no
example_table,multipoint_col,multipoint,no
example_table,multilinestring_col,multilinestring,no
example_table,multipolygon_col,multipolygon,no
example_table,geometrycollection_col,geomcollection,no
fixtures,id,bigint auto_increment,yes
fixtures,away_team,varchar,no
fixtures,competition,varchar,no
fixtures,country,varchar,no
fixtures,date_file,varchar,no
fixtures,event_time,varchar,no
fixtures,home_team,varchar,no
fixtures,match_id,varchar,no
match_info,id,bigint,no
match_info,match_id,varchar,no
pointbypoint,id,bigint auto_increment,yes
pointbypoint,away_score,int,no
pointbypoint,cuarto,varchar,no
pointbypoint,home_score,int,no
pointbypoint,match_id,varchar,no
results,match_id,varchar,yes
results,away_score,int,no
results,away_score1,int,no
results,away_score2,int,no
results,away_score3,int,no
results,away_score4,int,no
results,away_score5,int,no
results,away_team,varchar,no
results,competition,varchar,no
results,country,varchar,no
results,date_file,varchar,no
results,event_time,varchar,no
results,home_score,int,no
results,home_score1,int,no
results,home_score2,int,no
results,home_score3,int,no
results,home_score4,int,no
results,home_score5,int,no
results,home_team,varchar,no
results,_2pa,varchar,no
results,_2pm,varchar,no
results,_3pa,varchar,no
results,_3pm,varchar,no
results,ast,varchar,no
results,ba,varchar,no
results,bs,varchar,no
results,dr,varchar,no
results,fga,varchar,no
results,fgm,varchar,no
results,fta,varchar,no
results,ftm,varchar,no
results,id,bigint,no
results,min,varchar,no
results,name,varchar,no
results,offensive_rebounds,varchar,no
results,pf,varchar,no
results,plus_minus,varchar,no
results,pts,varchar,no
results,reb,varchar,no
results,st,varchar,no
results,team,varchar,no
results,tfm,varchar,no
results,turnovers,varchar,no
stats_player,match_id,varchar,yes
stats_player,name,varchar,yes
stats_player,_2pa,varchar,no
stats_player,_2pm,varchar,no
stats_player,_3pa,varchar,no
stats_player,_3pm,varchar,no
stats_player,ast,varchar,no
stats_player,ba,varchar,no
stats_player,bs,varchar,no
stats_player,dr,varchar,no
stats_player,fga,varchar,no
stats_player,fgm,varchar,no
stats_player,fta,varchar,no
stats_player,ftm,varchar,no
stats_player,min,varchar,no
stats_player,offensive_rebounds,varchar,no
stats_player,pf,varchar,no
stats_player,plus_minus,varchar,no
stats_player,pts,varchar,no
stats_player,reb,varchar,no
stats_player,st,varchar,no
stats_player,team,varchar,no
stats_player,tfm,varchar,no
stats_player,turnovers,varchar,no
statsmatch,id,bigint auto_increment,yes
statsmatch,away_value,varchar,no
statsmatch,category_name,varchar,no
statsmatch,cuarto,varchar,no
statsmatch,home_value,varchar,no
statsmatch,match_id,varchar,no
